postalcode	city	community	identifer	usercount
11263	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	118
11264	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	120
11265	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	95
11266	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	100
11267	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	130
11269	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	40
11320	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	127
11321	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	151
11322	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	124
11323	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	112
11324	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	129
11325	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	105
11326	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	183
11327	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	116
11328	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	121
11329	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	153
11330	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	114
11331	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	88
11332	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	104
11333	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	69
11334	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	86
11335	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	155
11336	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	128
11337	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	131
11338	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	120
11339	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	159
11340	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	116
11341	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	157
11342	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	127
11343	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	95
11344	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	145
11345	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	137
11346	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	130
11347	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	137
11348	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	139
11349	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	113
11350	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	122
11351	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	104
11352	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	138
11353	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	129
11354	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	165
11355	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	125
11356	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	134
11357	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	89
11358	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	75
11359	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	115
11360	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	115
11361	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	99
11362	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	155
11364	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	124
11415	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	71
11416	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	48
11417	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	126
11418	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	52
11419	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	6
11420	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	148
11421	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	150
11422	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	100
11423	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	156
11424	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	54
11425	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	76
11426	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	108
11427	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	95
11428	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	29
11429	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	56
11430	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	54
11431	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	60
11432	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	65
11433	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	5
11435	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	1
11436	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	46
11437	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	63
11438	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	101
11439	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	22
11440	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	72
11441	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	74
11442	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	49
11443	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	68
11444	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	60
11445	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	61
11446	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	24
11447	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	64
11448	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	44
11449	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	54
11450	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	54
11451	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	36
11452	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	76
11453	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	72
11454	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	76
11455	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	73
11456	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	43
11457	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	76
11458	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	86
11459	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	99
11460	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	83
11520	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	52
11521	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	28
11522	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	92
11523	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	65
11524	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	76
11525	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	9
11526	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	77
11527	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	68
11528	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	75
11529	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	74
11530	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	117
11531	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	72
11532	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	97
11533	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	83
11534	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	106
11535	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	97
11536	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	93
11537	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	107
11538	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	111
11539	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	122
11540	Örebro	Örebro	f089455c-ea02-4c18-a34e-54e0626d81c4	1
11540	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	68
11542	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	89
11543	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	130
11544	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	166
